playerId,displayName,height,weight,dob,position,origin
2007714710.0,"Grigg, Shaun",190.0,85.0,19-Apr-1988,Midfield,North Ballarat
2016652024.0,"Austin, Logan",195.0,85.0,8-Jul-1995,Defender,Belconnen
2018702584.0,"Freeman, Nathan",183.0,88.0,16-Jun-1995,Midfield,Sandringham Dragons
2006716318.0,"Gilbert, Sam",194.0,90.0,19-Aug-1986,Defender,Southport
2015771167.0,"McCartin, Paddy",194.0,100.0,19-Apr-1996,Forward,Geelong Falcons
2018822513.0,"Rice, Bailey",184.0,88.0,10-Feb-1997,Defender,Dandenong Stingrays
2010831090.0,"Stevens, Koby",189.0,87.0,18-Jun-1991,Midfield,Gippsland Power
2013871058.0,"Wright, Nathan",185.0,82.0,16-Feb-1994,Forward,Dandenong Stingrays
2011747073.0,"Johnson, Alex",193.0,91.0,2-Mar-1992,Defender,Oakleigh Chargers
2016778822.0,"Marsh, Harrison",188.0,86.0,13-Jan-1994,Defender,East Fremantle
2015822754.0,"Robinson, Dan",184.0,85.0,3-Jul-1994,Forward,Geelong
2008835971.0,"Smith, Nick",183.0,83.0,12-Jun-1988,Defender,Norwood
2014844457.0,"Towers, Dean",189.0,88.0,4-May-1990,Forward,North Ballarat Rebels
2005767865.0,"LeCras, Mark",184.0,82.0,30-Aug-1986,Forward,West Perth
2015775207.0,"McInnes, Fraser",197.0,91.0,19-Jul-1993,Ruck,Perth
2013663259.0,"Biggs, Shane",187.0,84.0,5-Aug-1991,Defender,Bendigo Bombers
2014666381.0,"Boyd, Tom",200.0,103.0,22-Aug-1995,"Forward, Ruck",Eastern Ranges
2018719221.0,"Greene, Fergus",187.0,75.0,20-Dec-1997,Forward,Bendigo Pioneers
2014723568.0,"Honeychurch, Mitch",175.0,70.0,2-Mar-1995,Forward,Eastern Ranges
2018764637.0,"Lynch, Brad",187.0,79.0,11-Jul-1997,Defender,Swan Districts
2014821865.0,"Redpath, Jack",194.0,100.0,13-Dec-1990,Forward,Kyneton
2015877357.0,"Webb, Lukas",186.0,80.0,4-Mar-1996,Forward,Gippsland Power
2017666645.0,"Beech, Jonathon",188.0,88.0,9-Nov-1990,Forward,West Adelaide
2013777215.0,"Menzel, Troy",187.0,84.0,22-Sep-1994,Forward,Central District
2001849962.0,"Thompson, Scott",184.0,86.0,14-Mar-1983,Midfield,Port Adelaide
2011664174.0,"Beams, Claye",182.0,85.0,1-Sep-1991,Midfield,Labrador
2014673665.0,"Close, Michael",197.0,98.0,30-Jul-1994,Forward,North Ballarat Rebels
2015687577.0,"Dawson, Liam",188.0,84.0,23-Jan-1996,"Defender, Forward",Aspley
2013703623.0,"Frost, Jack",195.0,90.0,25-Feb-1992,Defender,Williamstown
2016721208.0,"Hammelmann, Matthew",197.0,88.0,8-Mar-1996,Defender,Morningside
2010729784.0,"Harwood, Ryan",184.0,87.0,7-Aug-1991,Defender,Glenorchy
