gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2021R704,2021.0,R7,01-May-2021,Docklands,4:35 PM,26433.0,St Kilda,128.0,Hawthorn,59.0,0.0
2021R705,2021.0,R7,01-May-2021,S.C.G.,7:25 PM,29123.0,Sydney,90.0,Geelong,88.0,0.0
2021R706,2021.0,R7,01-May-2021,Gabba,7:25 PM,20007.0,Brisbane Lions,93.0,Port Adelaide,44.0,6.2
2021R707,2021.0,R7,02-May-2021,Bellerive Oval,1:10 PM,6009.0,North Melbourne,73.0,Melbourne,103.0,
2021R708,2021.0,R7,02-May-2021,M.C.G.,3:20 PM,57447.0,Essendon,107.0,Carlton,123.0,0.0
2021R709,2021.0,R7,02-May-2021,Perth Stadium,2:40 PM,0.0,West Coast,132.0,Fremantle,73.0,0.0
2021R801,2021.0,R8,07-May-2021,M.C.G.,7:50 PM,54857.0,Richmond,63.0,Geelong,126.0,0.0
2021R802,2021.0,R8,08-May-2021,Carrara,1:45 PM,9271.0,Gold Coast,54.0,St Kilda,63.0,0.0
2021R803,2021.0,R8,08-May-2021,Sydney Showground,2:10 PM,8526.0,Greater Western Sydney,107.0,Essendon,105.0,1.4
2021R804,2021.0,R8,08-May-2021,Docklands,4:35 PM,22329.0,North Melbourne,76.0,Collingwood,94.0,0.0
2021R805,2021.0,R8,08-May-2021,M.C.G.,7:25 PM,35567.0,Melbourne,67.0,Sydney,58.0,0.0
2021R806,2021.0,R8,08-May-2021,Adelaide Oval,7:10 PM,43069.0,Port Adelaide,87.0,Adelaide,38.0,0.0
2021R807,2021.0,R8,09-May-2021,M.C.G.,1:10 PM,15277.0,Hawthorn,60.0,West Coast,98.0,0.6
2021R808,2021.0,R8,09-May-2021,Docklands,3:20 PM,27663.0,Western Bulldogs,107.0,Carlton,91.0,0.6
2021R809,2021.0,R8,09-May-2021,Gabba,4:40 PM,15403.0,Brisbane Lions,95.0,Fremantle,71.0,0.0
2021R901,2021.0,R9,14-May-2021,Docklands,7:50 PM,26712.0,St Kilda,47.0,Geelong,68.0,4.2
2021R902,2021.0,R9,15-May-2021,S.C.G.,1:45 PM,31448.0,Sydney,72.0,Collingwood,42.0,0.0
2021R903,2021.0,R9,15-May-2021,York Park,2:10 PM,9121.0,Hawthorn,80.0,North Melbourne,87.0,0.0
2021R904,2021.0,R9,15-May-2021,Carrara,4:35 PM,12636.0,Gold Coast,51.0,Brisbane Lions,124.0,0.0
2021R905,2021.0,R9,15-May-2021,Docklands,7:25 PM,18798.0,Richmond,87.0,Greater Western Sydney,83.0,8.4
2021R906,2021.0,R9,15-May-2021,Adelaide Oval,7:10 PM,32787.0,Port Adelaide,77.0,Western Bulldogs,96.0,3.4
2021R907,2021.0,R9,16-May-2021,Docklands,1:10 PM,26357.0,Essendon,68.0,Fremantle,61.0,0.1
2021R908,2021.0,R9,16-May-2021,M.C.G.,3:20 PM,38581.0,Melbourne,94.0,Carlton,68.0,0.1
2021R909,2021.0,R9,16-May-2021,Perth Stadium,2:40 PM,43427.0,West Coast,106.0,Adelaide,76.0,0.0
2021R1001,2021.0,R10,21-May-2021,Gabba,7:50 PM,31127.0,Brisbane Lions,102.0,Richmond,74.0,0.0
2021R1002,2021.0,R10,22-May-2021,M.C.G.,1:45 PM,45741.0,Carlton,86.0,Hawthorn,63.0,0.0
2021R1003,2021.0,R10,22-May-2021,Kardinia Park,2:10 PM,22055.0,Geelong,91.0,Gold Coast,57.0,0.0
2021R1004,2021.0,R10,22-May-2021,Adelaide Oval,4:05 PM,31373.0,Adelaide,96.0,Melbourne,95.0,0.0
2021R1005,2021.0,R10,22-May-2021,Docklands,7:25 PM,28720.0,Western Bulldogs,144.0,St Kilda,33.0,0.0
2021R1006,2021.0,R10,22-May-2021,Perth Stadium,5:40 PM,29134.0,Fremantle,86.0,Sydney,84.0,0.0
2021R1007,2021.0,R10,23-May-2021,Sydney Showground,1:10 PM,9046.0,Greater Western Sydney,93.0,West Coast,77.0,0.0
2021R1008,2021.0,R10,23-May-2021,M.C.G.,3:20 PM,23415.0,Collingwood,58.0,Port Adelaide,59.0,0.0
2021R1009,2021.0,R10,23-May-2021,Docklands,4:40 PM,33121.0,Essendon,141.0,North Melbourne,69.0,0.0
2021R1101,2021.0,R11,28-May-2021,Docklands,7:50 PM,0.0,Western Bulldogs,59.0,Melbourne,87.0,0.4
2021R1102,2021.0,R11,29-May-2021,M.C.G.,1:45 PM,0.0,Collingwood,51.0,Geelong,61.0,0.0
2021R1103,2021.0,R11,29-May-2021,Gabba,2:10 PM,22038.0,Brisbane Lions,129.0,Greater Western Sydney,65.0,0.0
2021R1104,2021.0,R11,29-May-2021,Docklands,4:35 PM,0.0,St Kilda,88.0,North Melbourne,68.0,0.0
2021R1105,2021.0,R11,29-May-2021,Perth Stadium,5:40 PM,41883.0,West Coast,71.0,Essendon,87.0,11.4
2021R1106,2021.0,R11,29-May-2021,S.C.G.,7:40 PM,1241.0,Gold Coast,113.0,Hawthorn,76.0,0.0
2021R1107,2021.0,R11,30-May-2021,Sydney Showground,2:10 PM,4236.0,Richmond,111.0,Adelaide,83.0,0.0
2021R1108,2021.0,R11,30-May-2021,S.C.G.,3:20 PM,29882.0,Sydney,100.0,Carlton,78.0,0.2
2021R1109,2021.0,R11,30-May-2021,Adelaide Oval,4:50 PM,26759.0,Port Adelaide,115.0,Fremantle,69.0,0.0
2021R1201,2021.0,R12,04-Jun-2021,Sydney Showground,7:50 PM,3772.0,Melbourne,97.0,Brisbane Lions,75.0,7.0
2021R1202,2021.0,R12,05-Jun-2021,S.C.G.,1:45 PM,19020.0,Sydney,92.0,St Kilda,83.0,0.2
